District,LAC,booth_id,Polling Station Name,Filename
KASARAGOD,MANJESHWAR,1,Govt. Vocational Higher Secondary School Kunjathur (Eastern Building Northern Side),S11A1P1.pdf
KASARAGOD,MANJESHWAR,2,Govt. Vocational Higher Secondary School Kunjathur (Eastern Building Southern Side),S11A1P2.pdf
KASARAGOD,MANJESHWAR,3,Govt. Vocational Higher Secondary School Kunjathur Southern Building ,S11A1P3.pdf
KASARAGOD,MANJESHWAR,4,Vidyodaya ALP Scool Pavoor,S11A1P4.pdf
KASARAGOD,MANJESHWAR,5,"Govt. Lower Primary School Kanwatheerthapadvu, Kunjathur (New Building Middle Portion South Side)",S11A1P5.pdf
KASARAGOD,MANJESHWAR,6,"Govt. Lower Primary School, Kunjathur (East portion of southern  Building)",S11A1P6.pdf
KASARAGOD,MANJESHWAR,7,Govt. Lower Primary School Kunjathur   (West side of Southern building),S11A1P7.pdf
KASARAGOD,MANJESHWAR,8,Mada Anganawady (Near Masco Hall),S11A1P8.pdf
KASARAGOD,MANJESHWAR,9,Udyavara Bhagavathi A L P School Kanwatheertha,S11A1P9.pdf
KASARAGOD,MANJESHWAR,10,Govt. Muslim Lower Primary School Udyawarathotta (Northern side)  ,S11A1P10.pdf
KASARAGOD,MANJESHWAR,11,Govt. Muslim Lower Primary School Udyawarathotta (Southern Side),S11A1P11.pdf
KASARAGOD,MANJESHWAR,12,Govt. High School Udyawara gudde (eastern Side) ,S11A1P12.pdf
KASARAGOD,MANJESHWAR,13, Govt. High School Udyawara gudde (western Side) ,S11A1P13.pdf
KASARAGOD,MANJESHWAR,14,"Govt. L P S Udyavara, Near Railwaygate Manjeshwar (Eastern Side)",S11A1P14.pdf
KASARAGOD,MANJESHWAR,15,"Govt. L P S Udyavara, Near Railwaygate Manjeshwar (Western Side Building)",S11A1P15.pdf
KASARAGOD,MANJESHWAR,16,Govindapai Memmorial Govt.College Manjeswar (Western Building Southern Side),S11A1P16.pdf
KASARAGOD,MANJESHWAR,17,Govindapai Memmorial Govt.College Manjeswar (Western Building Eastern Side),S11A1P17.pdf
KASARAGOD,MANJESHWAR,18,Govt. Lower Primary School Badaje (Eastern Side),S11A1P18.pdf
KASARAGOD,MANJESHWAR,19,Govt. Lower Primary School Badaje (Western Side),S11A1P19.pdf
KASARAGOD,MANJESHWAR,20,"S C Community Hall Idiya, badaje",S11A1P20.pdf
KASARAGOD,MANJESHWAR,21,Govt. Muslim Lower Primary School Hosabettu (Eastern Building),S11A1P21.pdf
KASARAGOD,MANJESHWAR,22,Govt. Muslim Lower Primary School Hosabettu (Southern Side Building),S11A1P22.pdf
KASARAGOD,MANJESHWAR,23,S A T H S Manjeshwar (Northern Side Building),S11A1P23.pdf
KASARAGOD,MANJESHWAR,24,S A T H S Manjeshwar (Eastern Side ),S11A1P24.pdf
KASARAGOD,MANJESHWAR,25,S A T L P School Manjeshwar (Western Side ),S11A1P25.pdf
KASARAGOD,MANJESHWAR,26,Govt. High School Bangara Manjeshwar (Southern ern Building of Eastern ern Portion),S11A1P26.pdf
KASARAGOD,MANJESHWAR,27,"Govt. High School Bangara Manjeshwar (New Building, Southern Block)",S11A1P27.pdf
KASARAGOD,MANJESHWAR,28,Govt. Lower Primary School Vamanjur (Eastern Side Building),S11A1P28.pdf
KASARAGOD,MANJESHWAR,29,"Govt. Lower Primery School, Vamanjoor (East West new Building).",S11A1P29.pdf
KASARAGOD,MANJESHWAR,30,M.G.L.C. Kedumbaday,S11A1P30.pdf
KASARAGOD,MANJESHWAR,31,"Fathima English Medium school, Pavoor ( South Portion)",S11A1P31.pdf
KASARAGOD,MANJESHWAR,32,Fathima English Medium school Pavoor (North Portion),S11A1P32.pdf
KASARAGOD,MANJESHWAR,33,M.G.L.C. Poyye,S11A1P33.pdf
KASARAGOD,MANJESHWAR,34,Sree Subrahmanya A L P School Mudoor Thokke Vorkady,S11A1P34.pdf
KASARAGOD,MANJESHWAR,35,Sree Vidyabodini A L P School Bajalkariya,S11A1P35.pdf
KASARAGOD,MANJESHWAR,36,Vorkady Panchayath Kudumbashree Office,S11A1P36.pdf
KASARAGOD,MANJESHWAR,37,St. Joseph A U P School Kaliyoor  (Main building North Side).,S11A1P37.pdf
KASARAGOD,MANJESHWAR,38,St. Joseph A U P School Kaliyoor (Main building Southern  Building).,S11A1P38.pdf
KASARAGOD,MANJESHWAR,39,"Vorkady Kappiri A L P School, Vorkady",S11A1P39.pdf
KASARAGOD,MANJESHWAR,40,Bakrabayal A U P S Pathur (Middle Building ),S11A1P40.pdf
KASARAGOD,MANJESHWAR,41,Bakrabail A U P S Pathur ( South west building-Northern Side),S11A1P41.pdf
KASARAGOD,MANJESHWAR,42,Bakrabail A U P S Pathur  ( South west building-sourthern Side),S11A1P42.pdf
KASARAGOD,MANJESHWAR,43,Sree Vanivijaya A U P School Kodlamogaru (Main Building),S11A1P43.pdf
KASARAGOD,MANJESHWAR,44,Sree Vanivijaya A U P School Kodlamogaru (New Building),S11A1P44.pdf
KASARAGOD,MANJESHWAR,45,Sree Vanivijaya High School Kodlamogaru (Southern Side),S11A1P45.pdf
